GEOID,n
48085030203,1
48085030304,1
48085030403,1
48085030404,2
48085030405,1
48085030407,1
48085030408,2
48085030504,1
48085030505,4
48085030507,1
48085030508,2
48085030510,1
48085030511,4
48085030513,3
48085030514,2
48085030517,3
48085030519,1
48085030523,6
48085030525,2
48085030526,1
48085030528,2
48085030529,1
48085030530,7
48085030601,1
48085030605,1
48085030802,1
48085031201,1
48085031309,2
48085031310,1
48085031313,1
48085031315,3
48085031316,1
48085031317,1
48085031405,8
48085031406,2
48085031410,1
48085031504,1
48085031506,1
48085031507,1
48085031508,3
48085031612,1
48085031621,5
48085031622,1
48085031624,1
48085031630,2
48085031632,2
48085031633,1
48085031636,4
48085031638,1
48085031639,3
48085031640,2
48085031641,5
48085031642,2
48085031643,1
48085031646,7
48085031647,1
48085031648,5
48085031649,3
48085031652,2
48085031653,4
48085031654,1
48085031655,1
48085031657,17
48085031658,10
48085031659,1
48085031660,2
48085031662,1
48085031663,2
48085031664,1
48085031704,4
48085031706,5
48085031709,6
48085031711,2
48085031713,4
48085031714,4
48085031715,2
48085031717,2
48085031718,1
48085031720,2
48085031802,2
48085031804,2
48085031806,4
48085031807,1
48085031900,1
48085032004,4
48085032009,3
48085032012,3
48113000100,5
48113000201,2
48113000202,7
48113000300,22
48113000401,26
48113000404,43
48113000405,10
48113000406,38
48113000500,191
48113000601,71
48113000603,57
48113000605,37
48113000606,34
48113000701,157
48113000702,53
48113000800,59
48113000900,96
48113001001,8
48113001002,16
48113001101,11
48113001102,5
48113001202,4
48113001301,9
48113001400,13
48113001502,1
48113001503,13
48113001504,4
48113001600,61
48113001701,18
48113001703,109
48113001704,75
48113001800,207
48113001900,262
48113002000,15
48113002100,65
48113002200,21
48113002701,1
48113003101,107
48113003400,1
48113003700,1
48113004201,6
48113004202,4
48113004300,8
48113004400,7
48113004500,1
48113004600,6
48113004800,2
48113005000,1
48113005100,3
48113005300,2
48113005400,2
48113005500,1
48113006002,1
48113006200,1
48113006301,1
48113006800,4
48113006900,1
48113007101,5
48113007102,10
48113007201,1
48113007301,4
48113007302,9
48113007601,7
48113007604,4
48113007605,1
48113007700,6
48113007801,1
48113007804,10
48113007805,6
48113007810,4
48113007811,1
48113007812,9
48113007815,2
48113007818,2
48113007819,1
48113007820,1
48113007822,16
48113007824,3
48113007825,2
48113007826,5
48113007902,7
48113007903,2
48113007906,1
48113007909,7
48113007910,9
48113007911,23
48113007912,9
48113007913,9
48113007914,20
48113008000,7
48113008100,11
48113008200,1
48113008400,3
48113008500,1
48113008604,1
48113008703,1
48113008704,1
48113008801,1
48113009000,1
48113009401,1
48113009402,2
48113009500,2
48113009603,4
48113009604,3
48113009607,1
48113009608,2
48113009609,7
48113009701,1
48113009702,3
48113009900,4
48113010000,104
48113010102,1
48113010601,1
48113010701,4
48113010803,1
48113010805,1
48113010902,1
48113010903,1
48113011001,2
48113011002,2
48113011101,2
48113011104,1
48113011105,1
48113011200,1
48113011401,2
48113012204,3
48113012206,6
48113012208,1
48113012209,2
48113012211,3
48113012301,1
48113012400,1
48113012601,1
48113012800,1
48113012900,4
48113013004,4
48113013005,1
48113013007,4
48113013008,6
48113013009,3
48113013101,1
48113013102,1
48113013104,2
48113013105,3
48113013200,10
48113013300,2
48113013400,1
48113013500,1
48113013605,1
48113013606,3
48113013607,5
48113013608,3
48113013609,2
48113013610,2
48113013611,3
48113013616,35
48113013619,6
48113013620,7
48113013621,4
48113013622,1
48113013623,11
48113013624,8
48113013625,3
48113013626,13
48113013721,3
48113013722,1
48113013725,1
48113013726,3
48113013727,8
48113013804,2
48113013805,17
48113013806,9
48113013901,2
48113014001,1
48113014002,1
48113014114,2
48113014116,2
48113014119,10
48113014121,7
48113014123,3
48113014124,5
48113014126,2
48113014127,3
48113014128,2
48113014129,4
