GEOID,n
06001400100,.0302827784839792
06001400200,.0250376028977541
06001400300,.0584913201979198
06001400400,.0349678383717844
06001400500,.0472447555521569
06001400600,.0113178527995679
06001400700,.0509977734860172
06001400800,.0351771116715529
06001400900,.0311282783318489
06001401000,.1080785129374391
06001401100,.0874346010718163
06001401200,.0397001204395622
06001401300,.0490273738082578
06001401400,.0414089473573078
06001401500,.0151906036253564
06001401600,.0289493384784691
06001401700,.0300184271711714
06001401800,.0131766529593733
06001402200,.0299421763973555
06001402400,.0174657947607955
06001402500,.007745765884593
06001402600,.0067773099371493
06001402700,.0095435925638299
06001402800,.0632663505078881
06001402900,.0192221411844002
06001403000,.0302084809682128
06001403100,.0361869951685208
06001403300,.0955771449941949
06001403400,.0923491297521304
06001403501,.0966800993724348
06001403502,.0364153880093463
06001403600,.1062673122401154
06001403701,.0864117245714624
06001403702,.0355486459852727
06001403800,.0827751057418169
06001403900,.0539918205190464
06001404000,.0575736058506209
06001404101,.0524463132226174
06001404102,.0280804507638379
06001404200,.0237926073300514
06001404300,.0487511028636618
06001404400,.0619260690032064
06001404501,.0141812033896862
06001404502,.1000044349003986
06001404600,.054791688075511
06001404700,.0102518832426615
06001404800,.023328983564852
06001404900,.028978007805148
06001405000,.0483065478830724
06001405100,.0376102780300016
06001405200,.0792172197989878
06001405301,.0514975229548895
06001405302,.0266281806449982
06001405401,.021246451556209
06001405402,.01399558200103
06001405500,.06136593603172
06001405600,.0224368799123909
06001405700,.0209189436020836
06001405800,.0132333743069921
06001405901,.0045311593509609
06001405902,.004856111583365
06001406000,.0248829735242087
06001406100,.0367911081243619
06001406201,.0222826161213021
06001406202,.005030569536757
06001406300,.0131256563166744
06001406400,.0045101319098855
06001406500,.0231798740291076
06001406601,.0267987016729592
06001406602,.0128159913379022
06001406700,.0629675728377492
06001406800,.0430543183911141
06001406900,.0255822510572443
06001407000,.0253719412846216
06001407101,.0130597905365448
06001407102,.0219966213503691
06001407200,.0124556920675545
06001407300,.0299090132697586
06001407400,.0069583931815203
06001407500,.0066166441836231
06001407600,.0365726486392148
06001407700,.0299374115408568
06001407800,.010757060419035
06001407900,.0359636109312902
06001408000,.012338192732841
06001408100,.0693066277427627
06001408200,.0167966610912345
06001408300,.0168460381538305
06001408400,.010394883548372
06001408500,.0185425092442415
06001408600,.0128759648904975
06001408700,.0344046980653445
06001408800,.0099793798038945
06001408900,.0116134127652003
06001409000,.0069540839472211
06001409100,.0106296541698754
06001409200,.0212073054250688
06001409300,.01398952199105
06001409400,.0054702365333696
06001409500,.0083002924115476
06001409600,.0617963755357778
06001409700,.0442050211838705
06001409800,.0250993657160734
06001409900,.0156114241647032
06001410000,.0190021142841488
06001410100,.0065067050425114
06001410200,.0223172997680834
06001410300,.0122687382844902
06001410400,.0124363907732459
06001410500,.0070002363958963
06001420100,.0127220170165572
06001420200,.0253798535229919
06001420300,.0355139506632618
06001420400,.0230296824881009
06001420500,.0175981752756513
06001420600,.0110054900173395
06001421100,.0145049013872267
06001421200,.0539121348356275
06001421300,.0365669745126525
06001421400,.006147220731691
06001421500,.0304637191289316
06001421600,.0146036271082304
06001421700,.0370780477840142
06001421800,.0095148574726096
06001421900,.0308247239554476
06001422000,.0523005672608718
06001422100,.0404819222632113
06001422200,.0233883232695007
06001422300,.0262129669252005
06001422400,.0652509476131655
06001422500,.0310897900866394
06001422700,.0309235559300305
06001422800,.0329588049050358
06001422900,.1082163375110667
06001423000,.0476373766480984
06001423100,.0309827917214847
06001423200,.0088163721932233
06001423300,.02323075793214
06001423400,.0905693208330547
06001423500,.0670857053394229
06001423601,.0337346057177834
06001423602,.0469876319358171
06001423700,.0221511099991858
06001423800,.0198551971325287
06001423901,.0288141077330692
06001423902,.0227329366459799
06001424001,.0746526920332684
06001424002,.0336375792609829
06001425101,.0476821380994892
06001425102,.1205421427393958
06001425103,.0674032880802358
06001425104,.0833072164675741
06001426100,.077446134671364
06001426200,.0683514480826943
06001427100,.0258586348003718
06001427200,.0350477383742072
06001427300,.0363923916775235
06001427600,.0465278257548078
06001427700,.0685802316485251
06001427800,.0766639576103643
06001427900,.04518825879759
06001428000,.0555376801333409
06001428100,.0281265097515373
06001428200,.0651239069532261
06001428301,.0516054307083209
06001428302,.0610460987691335
06001428400,.1070800082054006
06001428500,.0289768628624043
06001428600,.0499561339079193
06001428700,.0111596693346314
06001430101,.0232168592772339
06001430102,.0270547573519053
06001430200,.0327571488877325
06001430300,.022732217944629
06001430400,.0035911810508651
06001430500,.0500171865976995
06001430600,.0184133210042319
06001430700,.0131185923394241
06001430800,.0207829355876936
06001430900,.0618728684373764
06001431000,.012518330607743
06001431100,.0278876009698479
06001431200,.0626779630537868
06001432100,.0196640560228616
06001432200,.0546755043633311
06001432300,.0245429968995268
06001432400,.2388531009442545
06001432501,.0075477487874878
06001432502,.0225496178687905
06001432600,.0451503715632597
06001432700,.0065014946685409
06001432800,.0117337283713823
06001433000,.0133077451480403
06001433102,.0102950082775237
06001433103,.0294719857201926
06001433104,.0387224646611912
06001433200,.031569276270706
06001433300,.0117162524965408
06001433400,.0252825802106713
06001433500,.0108835680958919
06001433600,.0210808871831318
06001433700,.0462556619056329
06001433800,.0268106288755234
06001433900,.0415201306252584
06001434000,.0197440330726506
06001435102,.0312608594226731
06001435103,.0167104671759262
06001435104,.0530920212539741
06001435200,.0257950781601943
06001435300,.0195200533969082
06001435400,.0569259075474662
06001435500,.0167111670199347
