GEOID,n
53007960200,.0017946591979126
53029971400,.0002895077923313
53029992201,.0000488272671646
53033000100,4.487997456019002
53033000200,4.428905040062091
53033000300,1.149104939642712
53033000401,3.872814654896501
53033000402,1.968998677075433
53033000500,1.062021269164688
53033000600,5.265762871116749
53033000700,2.903507797374914
53033000800,.8985158441064414
53033000900,.7374896317633102
53033001000,1.301160375252948
53033001100,1.538105093641207
53033001200,7.391287312129862
53033001300,4.168367447080527
53033001400,2.819515248193056
53033001500,1.363970971447998
53033001600,1.590263641373895
53033001701,4.858581570522801
53033001702,3.808080980699742
53033001800,4.526104224685696
53033001900,2.800550024414406
53033002000,1.372581552757765
53033002100,2.012781458084646
53033002200,2.410133959099767
53033002400,1.686473217632738
53033002500,1.691462497135944
53033002600,3.19974113914941
53033002700,4.498152052146906
53033002800,3.918632588902256
53033002900,2.963833834488469
53033003000,2.572726966434857
53033003100,3.322277122766536
53033003200,9.262939782540343
53033003300,6.462609802299994
53033003400,1.504947667912347
53033003500,3.740562236234837
53033003600,11.17153937625699
53033003800,.8657026224245783
53033003900,1.513912876449467
53033004000,2.863673208084947
53033004100,5.101874222309561
53033004200,3.75597391755764
53033004301,2.836866900732275
53033004302,3.615824816108216
53033004400,8.308805735112401
53033004500,2.013831911492161
53033004600,2.265161762908974
53033004700,15.69988892939364
53033004800,4.062912402208894
53033004900,10.67580848044599
53033005000,7.135593158960546
53033005100,3.249468444078957
53033005200,9.642918558907695
53033005301,9.175359909626422
53033005302,.678047573659569
53033005400,10.60924602570594
53033005600,4.956052972505859
53033005700,3.085277699639846
53033005801,7.130771868964075
53033005802,7.786755780347448
53033005900,5.824721581440826
53033006000,9.581262370571494
53033006100,8.772811314112914
53033006200,2.76003316250717
53033006300,4.808492572337855
53033006400,3.012129929098592
53033006500,8.482328843711002
53033006600,12.14482929720543
53033006700,33.27893230754853
53033006800,4.305822032532888
53033006900,5.83241287709825
53033007000,20.81559786814614
53033007100,20.0564712122432
53033007200,49.71599082047032
53033007300,39.02928689855071
53033007401,17.36715796437784
53033007402,16.495881367533
53033007500,25.3051452688087
53033007600,5.821008460887242
53033007700,6.680714640991937
53033007800,3.289659861737164
53033007900,11.28805130634282
53033008001,29.21913330630923
53033008002,13.66887753363699
53033008100,17.50880106932891
53033008200,16.20249037450412
53033008300,10.44679160247324
53033008400,19.23131842701696
53033008500,5.253147945360979
53033008600,9.995647478222963
53033008700,4.639747507244465
53033008800,4.34194170615956
53033008900,3.486101303025862
53033009000,3.822821885703888
53033009100,3.661456012221606
53033009200,3.442584636388347
53033009300,3.137197466305224
53033009400,3.977992587279005
53033009500,3.319349103141576
53033009600,6.215047022953513
53033009701,6.508724564737349
53033009702,5.045382235766738
53033009800,4.684523461961362
53033009900,6.395286315068006
53033010001,1.7165697218079
53033010002,2.558010211745568
53033010100,3.772162353274325
53033010200,1.812389214934228
53033010300,4.669457274238084
53033010401,1.614961096431216
53033010402,1.401409413731017
53033010500,9.464011635158386
53033010600,5.334654305595905
53033010701,1.342910300503718
53033010702,1.072688425418164
53033010800,1.767310166644165
53033010900,.9739373707416235
53033011001,.748779485184059
53033011002,.5351135603777948
53033011101,1.472318544703739
53033011102,1.08770406642725
53033011200,1.680015858884872
53033011300,1.801743261910815
53033011401,3.549106361620943
53033011402,1.046690919196408
53033011500,3.154406807261694
53033011600,3.638544885776355
53033011700,1.033544851088664
53033011800,2.479558922779688
53033011900,1.485529774741735
53033012000,1.241719815181568
53033012100,1.535414675920038
53033020100,.8690584215801209
53033020200,1.934989276956912
53033020300,2.615424126304788
53033020401,1.203426795254927
53033020402,1.130567732026975
53033020500,1.472560029764281
53033020600,.6302384178306966
53033020700,1.118227055907482
53033020800,1.248239696171368
53033020900,1.06961537321331
53033021000,2.304612346633803
53033021100,.8412547576881479
53033021300,1.164270278444747
53033021400,.7663273536327324
53033021500,1.351399516763195
53033021600,1.508405157215748
53033021700,3.320971569504763
53033021802,1.403707860208669
53033021803,1.398243777221069
53033021804,1.981073002647463
53033021903,2.94572755066838
53033021904,.6699670064699603
53033021905,1.317459817364579
53033021906,1.203212649827037
53033022001,1.020782085302926
53033022003,1.450235118460114
53033022005,2.05597402042622
53033022006,1.710582975130819
53033022101,1.463986593002119
53033022102,1.362524947096972
53033022201,.7506264336043387
53033022202,3.457296546690486
53033022203,1.353687445138348
53033022300,.4899705654970603
53033022400,4.95807722493555
53033022500,6.140457061650523
53033022603,2.036627913068514
53033022604,1.002637914329171
53033022605,3.426453312502417
53033022606,1.594630518811755
53033022701,2.966838643144001
53033022702,1.21038105801199
53033022703,.6890821110500838
53033022801,6.723366130579961
53033022802,1.630585137019807
53033022803,9.366856422100682
53033022901,.5834908051474486
53033022902,2.055438263698306
53033023000,1.659597391641
53033023100,.9612937475467334
53033023201,7.217175302430405
53033023202,1.27650147129134
53033023300,1.756810627739469
53033023401,2.141650469868182
53033023403,1.316141223425802
53033023404,.430152096436359
53033023500,1.631157585921756
53033023601,2.030272134761617
53033023603,4.034420247175149
53033023604,3.91191253461875
53033023700,2.349285298274481
53033023801,2.785088486998575
53033023803,12.31155471022066
53033023804,11.84403164657124
53033023900,1.780822734552203
53033024000,3.747999886407342
53033024100,.9162260262783093
53033024200,.8122533863024728
53033024300,5.759747729920491
53033024400,3.436170193948783
53033024500,2.063262827316066
53033024601,2.118826477089897
53033024602,1.076733863912523
53033024701,1.708922143807285
53033024702,1.90222470016306
53033024800,2.218732172877935
53033024901,1.592065431228548
53033024902,1.046532727959857
53033024903,1.706079512863653
53033025001,1.603335961495759
53033025003,2.932523394847522
53033025005,1.657467734112288
53033025006,1.560488974500913
53033025101,1.259995307729696
53033025102,1.066793750653233
