inc_pc_c4_value,inc_pc_c4_grid
.0000191189776032,3132
.0000606663669159,6560.693877551021
.0001703597244606,9989.387755102041
.0003665948386433,13418.08163265306
.0006855491227327,16846.77551020408
.0011729398617494,20275.4693877551
.0016470092691817,23704.16326530612
.0020238179902325,27132.85714285714
.0023127474863788,30561.55102040816
.0024788158848959,33990.24489795919
.0027075903965918,37418.9387755102
.0030197624371296,40847.63265306122
.0032527007725777,44276.32653061224
.003315050789387,47705.02040816326
.0032838209284048,51133.71428571428
.0030846249809205,54562.4081632653
.002855113066914,57991.10204081632
.0027659436942675,61419.79591836734
.0026665326778746,64848.48979591837
.002696670599704,68277.18367346938
.0028275714109761,71705.8775510204
.0027781468319099,75134.57142857142
.0025212399557934,78563.26530612244
.0021350910075357,81991.95918367346
.0016650812243929,85420.65306122448
.0011886180514308,88849.3469387755
.0010292693153014,92278.04081632652
.000998771581546,95706.73469387754
.001025385323498,99135.42857142857
.0010298758808571,102564.1224489796
.0010079839990178,105992.8163265306
.000972072451551,109421.5102040816
.0009329851943072,112850.2040816326
.0007713302609359,116278.8979591837
.0005541031975502,119707.5918367347
.0004648253663424,123136.2857142857
.0005459835888525,126564.9795918367
.0006189367216484,129993.6734693878
.0006302535933395,133422.3673469388
.0005418421418802,136851.0612244898
.0004300190943285,140279.7551020408
.0002116541854859,143708.4489795918
.0001421243222666,147137.1428571428
.0001369475904937,150565.8367346939
.0001047851051888,153994.5306122449
.0000528740349529,157423.2244897959
.0000122043029177,160851.9183673469
.0000152841027388,164280.612244898
.0000154074425494,167709.306122449
.0000125743223494,171138
