inc_pc_c7_value,inc_pc_c7_grid
5.01414305460e-06,-2029
.0000420898418682,804
.0002328969721777,3637
.0006857000031943,6470
.0014249372090833,9303
.0025316646900661,12136
.0040231792490115,14969
.0058227409775457,17802
.0075114178545158,20635
.0090357613899075,23468
.0101324765479861,26301
.0107704301110813,29134
.0108298912263851,31967
.0104365028363225,34800
.0099823864190926,37633
.0094310004429092,40466
.0087573395019259,43299
.0082079026743487,46132
.0074874224042884,48965
.0069090707963671,51798
.0064575096729241,54631
.0061940863129011,57464
.0062965579682713,60297
.0061625679414807,63130
.0059520523611182,65963
.0057016679661925,68796
.0050526916215516,71629
.0041994604275186,74462
.0034227368019717,77295
.0028874963191342,80128
.0025148291637585,82961
.0021511076362779,85794
.0018659093227984,88627
.0017441634884659,91460
.0018925608399211,94293
.0020734687925779,97126
.0022917865227714,99959
.0023579555454131,102792
.0022015618416811,105625
.001890427479354,108458
.0014699996218286,111291
.0009547444555038,114124
.0006019829338289,116957
.0004470077507731,119790
.0003790124266129,122623
.0002710526798795,125456
.0001864983004877,128289
.0000847217833164,131122
.0000370070236727,133955
.000025300969422,136788
