inc_pc_c3_value,inc_pc_c3_grid
.000038086507021,-1709
.0000452335919018,794.0816326530612
.0001983376665389,3297.163265306122
.0004282005885741,5800.244897959184
.0007595778227189,8303.326530612245
.0012554788009652,10806.40816326531
.0021279645622559,13309.48979591837
.0033998571239957,15812.57142857143
.0050306007078958,18315.65306122449
.0073917831896219,20818.73469387755
.0104653600983889,23321.81632653061
.0140009007341778,25824.89795918367
.0170444871855749,28327.97959183673
.0192944243021291,30831.0612244898
.0205578762366443,33334.14285714286
.0209387782796785,35837.22448979592
.0209264017439542,38340.30612244898
.0204474119528837,40843.38775510204
.0201182335085251,43346.4693877551
.0207962431625533,45849.55102040817
.0230387871643837,48352.63265306123
.0245365404622093,50855.71428571428
.0252807548346278,53358.79591836734
.0257644218521393,55861.87755102041
.0259235195066758,58364.95918367347
.0253709922909298,60868.04081632653
.0246293719560224,63371.12244897959
.0226046407909864,65874.20408163265
.020095416002136,68377.28571428571
.0182227352321975,70880.36734693877
.0165271095493454,73383.44897959183
.0154991756563392,75886.5306122449
.0141346909179075,78389.61224489796
.0129426285403746,80892.69387755102
.0113938106671855,83395.77551020408
.0102674343145651,85898.85714285714
.0084926752009085,88401.93877551021
.0061426405434982,90905.02040816327
.0034291382131294,93408.10204081633
.0015013247175454,95911.18367346939
.0010896003458618,98414.26530612246
.0006964057060047,100917.3469387755
.0004138527283746,103420.4285714286
.0003552047075398,105923.5102040816
.0003983908574726,108426.5918367347
.0003898550749018,110929.6734693878
.0003999585275364,113432.7551020408
.0003942110672743,115935.8367346939
.0003635908591036,118438.9183673469
.0002998885251843,120942
