inc_pc_c3_value,inc_pc_c3_grid
.0003531641380436,2157
.0024640057069835,6356.244897959184
.0068251184879948,10555.48979591837
.012529468461959,14754.73469387755
.0186735924691736,18953.97959183673
.0235750829356666,23153.22448979592
.0265661380872456,27352.4693877551
.0283174798928287,31551.71428571429
.0291104028097721,35750.95918367347
.0274589698337416,39950.20408163266
.0257106879830852,44149.44897959183
.021798265191159,48348.69387755102
.0177216396807055,52547.93877551021
.0137861893052553,56747.18367346939
.0108421016763711,60946.42857142857
.0098522882915489,65145.67346938775
.0091774105720024,69344.91836734694
.0086889348627117,73544.16326530612
.007968822186921,77743.40816326531
.0074523884008844,81942.65306122448
.0076405000705624,86141.89795918367
.0075055745891327,90341.14285714286
.0068218409187215,94540.38775510204
.0051584234883191,98739.63265306123
.0042517112749678,102938.8775510204
.0027399760587665,107138.1224489796
.0017083461844987,111337.3673469388
.0016970713073613,115536.612244898
.0015094903072421,119735.8571428571
.0015145708761091,123935.1020408163
.0012259477412138,128134.3469387755
.0007131575478454,132333.5918367347
.0001978254577755,136532.8367346939
.0001783058816528,140732.081632653
.000237419906966,144931.3265306122
.0004632659260126,149130.5714285714
.0005104451099373,153329.8163265306
.0004377681827742,157529.0612244898
.000299680945794,161728.306122449
.0000576992220389,165927.5510204082
0,170126.7959183673
.0000252539897202,174326.0408163265
.000060894336917,178525.2857142857
.0000752223273041,182724.5306122449
.0000682379608815,186923.7755102041
.0000399412376492,191123.0204081633
.0000640634613557,195322.2653061225
.0001080353571242,199521.5102040816
.000118423224278,203720.7551020408
.0000952270628171,207920
