inc_pc_c4_value,inc_pc_c4_grid
.0000128913455447,389
.0000368750993169,3846.34693877551
.0000828832352247,7303.693877551021
.0001980022064735,10761.04081632653
.0004099883800838,14218.38775510204
.000629697864297,17675.73469387755
.0008513056227215,21133.08163265306
.0010895522064572,24590.42857142857
.0012945840684896,28047.77551020408
.0014505701176579,31505.12244897959
.0015899110949889,34962.4693877551
.0016743793402903,38419.81632653061
.0017383563278028,41877.16326530612
.0017060382793868,45334.51020408163
.0015773168508428,48791.85714285714
.0013620779980286,52249.20408163266
.0011689024626208,55706.55102040817
.0009573569550229,59163.89795918368
.0008383129151322,62621.24489795919
.0009686266596161,66078.5918367347
.0010534859703351,69535.93877551021
.0010844904937475,72993.28571428571
.0010094665355252,76450.63265306123
.0008527133683408,79907.97959183675
.0006046868503238,83365.32653061225
.0003948929630119,86822.67346938775
.0002755161495734,90280.02040816327
.0002172699959282,93737.36734693879
.0002576653161365,97194.71428571429
.0003729289280597,100652.0612244898
.000516137689563,104109.4081632653
.0005634175638636,107566.7551020408
.0004965981684796,111024.1020408163
.0003377840261999,114481.4489795918
.0001948032446013,117938.7959183674
.0000471103693744,121396.1428571429
.0000195249541144,124853.4897959184
.0000283379838969,128310.8367346939
.0001146094668158,131768.1836734694
.0001803108251508,135225.5306122449
.0002199119288328,138682.8775510204
.0002158141946138,142140.2244897959
.0001682491001395,145597.5714285714
.0000884610511327,149054.918367347
.00002871039834,152512.2653061225
2.03358051806e-06,155969.612244898
1.91367518670e-06,159426.9591836735
2.41513335362e-06,162884.306122449
2.44073644109e-06,166341.6530612245
1.99048444912e-06,169799
