inc_pc_c2_value,inc_pc_c2_grid
.0000735269770708,520
.0003547976120467,3783.673469387755
.0008265848381817,7047.34693877551
.0015050054859597,10311.02040816327
.0026323254458179,13574.69387755102
.0042930306831518,16838.36734693878
.0064050650815138,20102.04081632653
.0082507343024479,23365.71428571429
.009926146462654,26629.38775510204
.0123002847307527,29893.0612244898
.0154685069055428,33156.73469387755
.018608907775398,36420.40816326531
.0216351814049884,39684.08163265306
.0238715723420064,42947.75510204081
.0241439176885291,46211.42857142857
.0235099065253159,49475.10204081633
.0246777983836099,52738.77551020408
.0274077404374642,56002.44897959183
.0306487989047612,59266.12244897959
.0343549109544562,62529.79591836735
.0370522846145287,65793.4693877551
.0385535069478163,69057.14285714286
.0383191545089222,72320.81632653062
.0356862002267686,75584.48979591837
.030960472986288,78848.16326530612
.0253517880793841,82111.83673469388
.0216189645275842,85375.51020408163
.0171949420579583,88639.18367346939
.0142217863388613,91902.85714285714
.0123626078002379,95166.5306122449
.0100988641875923,98430.20408163266
.0076132952323061,101693.8775510204
.0049584078237001,104957.5510204082
.0045039410169924,108221.2244897959
.0039647417057636,111484.8979591837
.0035925445834954,114748.5714285714
.0029110813869788,118012.2448979592
.0024981255132121,121275.9183673469
.0027227937215575,124539.5918367347
.0025049670691038,127803.2653061225
.0018124011920938,131066.9387755102
.0010762500774805,134330.612244898
.0006985946589542,137594.2857142857
.0002291012630599,140857.9591836735
.0000670891805564,144121.6326530612
.0000199310238681,147385.306122449
.000025737265111,150648.9795918367
.0000267526991873,153912.6530612245
.0000229773260972,157176.3265306122
.0000144111458405,160440
