inc_pc_c6_value,inc_pc_c6_grid
.0000191894606911,-680
.0000564639047733,1987.816326530612
.0001686159838325,4655.632653061224
.0004704550514548,7323.448979591836
.0009875831307398,9991.265306122448
.0016512882696942,12659.08163265306
.0024015862587801,15326.89795918367
.0031986753649716,17994.71428571428
.0037947759956291,20662.5306122449
.0041285489671825,23330.34693877551
.0041509837888932,25998.16326530612
.0039488718488374,28665.97959183673
.0036438509520924,31333.79591836734
.0033531253040421,34001.61224489796
.0031180831520024,36669.42857142857
.0030578389969268,39337.24489795918
.0030064614204685,42005.06122448979
.0029042783909568,44672.87755102041
.0027163438440151,47340.69387755102
.0025102335801829,50008.51020408163
.0022944811356696,52676.32653061224
.0020714176209668,55344.14285714286
.0018047107482098,58011.95918367346
.001674543143521,60679.77551020408
.0015681629117376,63347.59183673469
.0014897681832732,66015.4081632653
.0013445003577554,68683.22448979592
.001174258786455,71351.04081632652
.0010605650511022,74018.85714285713
.0009464768409698,76686.67346938775
.0008270796103629,79354.48979591836
.0007239101394636,82022.30612244898
.000616364973554,84690.12244897959
.0004782501609553,87357.93877551019
.0004073969294377,90025.75510204081
.0003597142297454,92693.57142857142
.0003232895558471,95361.38775510204
.0002713016894843,98029.20408163265
.0002254375644216,100697.0204081633
.000227242677372,103364.8367346939
.0002225770316709,106032.6530612245
.0001945073125084,108700.4693877551
.0001498709080683,111368.2857142857
.0001391162120863,114036.1020408163
.0001381531879119,116703.9183673469
.0001181770890872,119371.7346938775
.0000972360484019,122039.5510204082
.0000621958583393,124707.3673469388
.0000463240573884,127375.1836734694
.0000257791361174,130043
