med_hh_inc_c6_value,med_hh_inc_c6_grid
.000061234051063,11089
.0002514630300193,15772
.0003844196591759,20455
.0005312857590034,25138
.0006945856141742,29821
.0009318801675867,34504
.0011935469697091,39187
.0014551169788189,43870
.0017599367033547,48553
.0020467640051214,53236
.0021654687664568,57919
.0022227520962597,62602
.0025001860869929,67285
.0025810293811914,71968
.0024583020670583,76651
.0019617221039648,81334
.0014586744632965,86017
.0011945001511995,90700
.0010647936664025,95383
.001064666147764,100066
.0010182378388088,104749
.0009009871617141,109432
.0006658888903423,114115
.0005345198056297,118798
.0005065450658384,123481
.0004697452821825,128164
.0004240566251122,132847
.0003340483322108,137530
.0002449583400267,142213
.0001724445427521,146896
.0001014521414251,151579
.00005027207001,156262
.0000293497030689,160945
.0000163617263508,165628
8.00022601858e-06,170311
1.55091572054e-07,174994
4.45429668890e-06,179677
6.44107114334e-06,184360
6.11541493539e-06,189043
3.47732806503e-06,193726
0,198409
0,203092
0,207775
0,212458
0,217141
0,221824
4.94563922269e-06,226507
.0000121517816691,231190
.0000143267850807,235873
.0000114706494573,240556
