med_hh_inc_c7_value,med_hh_inc_c7_grid
8.55446648724e-06,8825
.0000340069217728,13849
.0000811928932203,18873
.0001439428371762,23897
.0002060109118524,28921
.0002669413775116,33945
.0002942798515947,38969
.0003123375246166,43993
.0003306400150654,49017
.0004289481767719,54041
.0005287654825712,59065
.0005848528882095,64089
.0005785374974216,69113
.0005927522219097,74137
.0005979627416818,79161
.0006144529128433,84185
.0005764884390076,89209
.0005691534996061,94233
.0005752356524817,99257
.0006246693558008,104281
.0006236793518742,109305
.0004878949355825,114329
.0003400430873703,119353
.0002279803719335,124377
.0002026256337519,129401
.0002050398959449,134425
.0001653215803372,139449
.0001346819219795,144473
.0001179158480165,149497
.0000992752301649,154521
.0000953233523607,159545
.0000820420921605,164569
.0000708058868726,169593
.0000569447327381,174617
.0000372797307066,179641
.0000212507469585,184665
.0000184290336902,189689
.0000164214117627,194713
.0000129042802819,199737
.0000132548691281,204761
.0000127585263711,209785
.0000101470928349,214809
7.72378226191e-06,219833
5.17927700590e-06,224857
3.93388671772e-06,229881
1.53376781830e-06,234905
5.49797383815e-08,239929
2.32286123161e-07,244953
2.91763503029e-07,249977
2.33411877985e-07,255001
