med_hh_inc_c6_value,med_hh_inc_c6_grid
4.28043905807e-06,4578
5.35002452801e-06,9688.673469387755
.0000156434523305,14799.34693877551
.0000701676063213,19910.02040816327
.0001771776981812,25020.69387755102
.0006316790178986,30131.36734693878
.0012798717476287,35242.04081632653
.0020507711653205,40352.71428571429
.0026140846119742,45463.38775510204
.0029264416718045,50574.06122448979
.0031184251515693,55684.73469387755
.0029293472069664,60795.40816326531
.002644480895057,65906.08163265306
.0023743950876792,71016.75510204081
.002168747878874,76127.42857142858
.0019248293891611,81238.10204081633
.0014673450391843,86348.77551020408
.0011343971030326,91459.44897959183
.0011603338434822,96570.12244897959
.001228507067483,101680.7959183674
.0011961309229739,106791.4693877551
.0009456577526196,111902.1428571429
.0006985203430394,117012.8163265306
.0005013280413234,122123.4897959184
.0003331980209211,127234.1632653061
.000311638060897,132344.8367346939
.0002777301753317,137455.5102040816
.0002574369486263,142566.1836734694
.0002088492669707,147676.8571428572
.000122015503298,152787.5306122449
.0001044766333701,157898.2040816327
.0000821345230678,163008.8775510204
.0000617851414058,168119.5510204082
.0000645585084202,173230.2244897959
.0000576337810065,178340.8979591837
.0000272165609659,183451.5714285714
7.64385460837e-06,188562.2448979592
0,193672.918367347
0,198783.5918367347
6.78042222217e-06,203894.2653061225
.0000119926855055,209004.9387755102
.0000119304781644,214115.612244898
6.59380019876e-06,219226.2857142857
0,224336.9591836735
0,229447.6326530612
0,234558.306122449
3.59944466657e-06,239668.9795918367
.0000192774411467,244779.6530612245
.0000246521870347,249890.3265306122
.0000197236823303,255001
