med_hh_inc_c6_value,med_hh_inc_c6_grid
4.64165005629e-06,4945
.0000149768248132,8984.938775510203
.0000378456616445,13024.87755102041
.0000570981962936,17064.81632653061
.0000938211980867,21104.75510204081
.0001230453804,25144.69387755102
.0001387283567963,29184.63265306122
.0001546639364957,33224.57142857143
.0001772551013256,37264.51020408163
.0001867630530988,41304.44897959183
.0002183465579241,45344.38775510204
.0002574926944585,49384.32653061224
.0002855845379764,53424.26530612245
.0003145559950201,57464.20408163265
.000316092198015,61504.14285714286
.0003085627881026,65544.08163265305
.0003038474266719,69584.02040816325
.0003043003734738,73623.95918367346
.0003008742495565,77663.89795918367
.0002745973165549,81703.83673469388
.0002329511439897,85743.77551020408
.0001998869411332,89783.71428571428
.0001824602061996,93823.65306122448
.0001830974677326,97863.59183673469
.0001855369706981,101903.5306122449
.0001713508718679,105943.4693877551
.0001449917385107,109983.4081632653
.0001085890086325,114023.3469387755
.0000871767258549,118063.2857142857
.00008232246362,122103.2244897959
.0000932527622891,126143.1632653061
.000096738962456,130183.1020408163
.0000840201187644,134223.0408163265
.0000558044805342,138262.9795918367
.0000333802679259,142302.9183673469
.0000206058809358,146342.8571428571
.0000186125508303,150382.7959183673
.0000154902328856,154422.7346938775
.0000106829019245,158462.6734693878
8.17185900512e-06,162502.612244898
6.95623584021e-06,166542.5510204082
6.43931293718e-06,170582.4897959184
7.86690089923e-06,174622.4285714286
.0000106685510832,178662.3673469388
.0000143081056791,182702.306122449
.0000168149655783,186742.2448979592
.0000188020406308,190782.1836734694
.0000159733901086,194822.1224489796
.0000116748069597,198862.0612244898
6.95735398524e-06,202902
