med_hh_inc_c6_value,med_hh_inc_c6_grid
.0000110243917565,7479
.0000489346395897,12530.4693877551
.0001047304480791,17581.9387755102
.0001337954180787,22633.4081632653
.0001395857862492,27684.87755102041
.0001821282575441,32736.34693877551
.0002555984871004,37787.81632653061
.0003068512554664,42839.28571428571
.0003315558598338,47890.75510204081
.0003772056656367,52942.22448979592
.0004964695181496,57993.69387755102
.0005780855599584,63045.16326530612
.0006237396576782,68096.63265306121
.0006662116213454,73148.10204081632
.0007434114790714,78199.57142857142
.0007972144819313,83251.04081632652
.0007989242606421,88302.51020408163
.0008324033150875,93353.97959183673
.0008997332826492,98405.44897959183
.0009170844426205,103456.9183673469
.0008532630065332,108508.387755102
.0008075640721784,113559.8571428571
.0007715536275933,118611.3265306122
.0007555430798325,123662.7959183673
.000671983154389,128714.2653061224
.000597531802905,133765.7346938775
.0005353959841342,138817.2040816326
.000468219864723,143868.6734693878
.0004824833110157,148920.1428571428
.0004235627148114,153971.612244898
.000374669704176,159023.081632653
.000277617672325,164074.5510204082
.0002679047681679,169126.0204081633
.0002526340282053,174177.4897959183
.0002296732947614,179228.9591836735
.0001233632700578,184280.4285714286
.0001162013640373,189331.8979591837
.0001057744152185,194383.3673469388
.0000866423444374,199434.8367346939
.0000659407759654,204486.306122449
.0000354431654272,209537.7755102041
.0000272648075485,214589.2448979592
.0000208448092028,219640.7142857143
.0000255389998384,224692.1836734694
.0000341480106487,229743.6530612245
.0000338856969447,234795.1224489796
.0000342062746566,239846.5918367347
.0000295053145067,244898.0612244898
.0000241099505484,249949.5306122449
.0000142822019451,255001
