med_hh_inc_c4_value,med_hh_inc_c4_grid
.0000248143249571,4815
.0001110752520244,8904.061224489797
.0002317417438702,12993.12244897959
.0005375236515517,17082.18367346939
.0010219785782937,21171.24489795919
.001550592856694,25260.30612244898
.0021740602110453,29349.36734693878
.0029501579991302,33438.42857142857
.0037411413313863,37527.48979591837
.0047056233811493,41616.55102040817
.0054589020810756,45705.61224489796
.0059986642913949,49794.67346938776
.0062268505123863,53883.73469387755
.0067113307567766,57972.79591836735
.0072607233993468,62061.85714285714
.0076573287179612,66150.91836734695
.0077726160265736,70239.97959183675
.0073577595593904,74329.04081632654
.0066065146984795,78418.10204081633
.0056030600260364,82507.16326530612
.0046256903683743,86596.22448979592
.0036569163683881,90685.28571428572
.003273788246316,94774.34693877552
.0031365828912327,98863.40816326531
.0028982674839537,102952.4693877551
.0024335339635346,107041.5306122449
.0020321627568486,111130.5918367347
.0016611859098092,115219.6530612245
.0013923240660766,119308.7142857143
.001024336374986,123397.7755102041
.0007241168614689,127486.8367346939
.0008163064533077,131575.8979591837
.0009555362677389,135664.9591836735
.0011362397869972,139754.0204081633
.0012697365567194,143843.0816326531
.0011478058576872,147932.1428571429
.0010591336791984,152021.2040816327
.0009023911992609,156110.2653061225
.0005596343509227,160199.3265306122
.000340878641704,164288.387755102
.0002080063360366,168377.4489795918
.0001414249938107,172466.5102040816
.0001432842528806,176555.5714285714
.0001268979894478,180644.6326530612
.000080694180512,184733.693877551
.0000456666347708,188822.7551020408
.00009894976378,192911.8163265306
.0001224122463033,197000.8775510204
.000116566826341,201089.9387755102
.0000784707404846,205179
