med_hh_inc_c0_value,med_hh_inc_c0_grid
.0075889546183538,84327
.0136673241962118,86097.28571428571
.0198841761180797,87867.57142857143
.0272487510594311,89637.85714285714
.0354599823320823,91408.14285714286
.0460907205672353,93178.42857142857
.0559314776828466,94948.71428571429
.062004927979437,96719
.0652649753524683,98489.28571428571
.0861397740461256,100259.5714285714
.105807359841892,102029.8571428571
.1188957688523423,103800.1428571429
.1247748679021262,105570.4285714286
.1272509627859729,107340.7142857143
.1232005762073607,109111
.1148167821086884,110881.2857142857
.1014836982805209,112651.5714285714
.0867985706851374,114421.8571428571
.0720117941068502,116192.1428571429
.0530047086414976,117962.4285714286
.030005101737698,119732.7142857143
.0091368349166397,121503
.0078761720714233,123273.2857142857
.0074452150026801,125043.5714285714
.0078593217005611,126813.8571428571
.008182584412257,128584.1428571429
.0080282064379698,130354.4285714286
.0097964206090977,132124.7142857143
.0109155439326541,133895
.0111029315518635,135665.2857142857
.0119487979807491,137435.5714285714
.0128637745246918,139205.8571428571
.0131641130265942,140976.1428571428
.0137450540047362,142746.4285714286
.0135624426186661,144516.7142857143
.0129045274665862,146287
.011498171644702,148057.2857142857
.0096569637963814,149827.5714285714
.007164797221311,151597.8571428572
.0048782176715655,153368.1428571428
.0043309483422861,155138.4285714286
.0055729301929759,156908.7142857143
.006111905681902,158679
.0070845721333108,160449.2857142857
.0079925423047945,162219.5714285714
.0084329627907032,163989.8571428572
.0084058335910371,165760.1428571428
.0079786187578731,167530.4285714286
.0074395819238294,169300.7142857143
.0064935414066594,171071
