med_hh_inc_c1_value,med_hh_inc_c1_grid
.0001296324470082,6622
.0007529060887586,11690.95918367347
.0017409352118724,16759.91836734694
.0032635795278067,21828.87755102041
.0049690114728301,26897.83673469388
.0064685290531353,31966.79591836734
.0093729638402271,37035.75510204081
.0130886564311229,42104.71428571428
.0188430187618848,47173.67346938775
.0223352558486799,52242.63265306122
.0263487713139614,57311.59183673469
.0277688064830893,62380.55102040816
.0316909181506332,67449.51020408163
.0303693792358131,72518.46938775509
.031336444922477,77587.42857142857
.040804687198976,82656.38775510204
.0523069044778651,87725.3469387755
.0629232745093925,92794.30612244896
.0690649634079987,97863.26530612244
.0650119886650533,102932.2244897959
.0654806558990244,108001.1836734694
.0677661601099613,113070.1428571428
.0641911467135807,118139.1020408163
.053825653829632,123208.0612244898
.0275947721498672,128277.0204081633
.0223180486591843,133345.9795918367
.0147326733359865,138414.9387755102
.0098255710246308,143483.8979591837
.0079037763406267,148552.8571428571
.0064278397515385,153621.8163265306
.0040721449928912,158690.7755102041
.0025854832124164,163759.7346938775
.0025687825743835,168828.693877551
.0034433788338534,173897.6530612245
.0042520275144288,178966.6122448979
.0038898634690367,184035.5714285714
.0023578417320918,189104.5306122449
.0009921163574279,194173.4897959183
.0004115328405165,199242.4489795918
.0005847407892028,204311.4081632653
.0005697034541928,209380.3673469388
.000380166655104,214449.3265306122
.0002482823834912,219518.2857142857
.0005509702195923,224587.2448979592
.00067018827092,229656.2040816326
.000513625648698,234725.1632653061
.0001930123228625,239794.1224489796
.000529152758374,244863.081632653
.0006707948732618,249932.0408163265
.0005366563146,255001
