med_hh_inc_c6_value,med_hh_inc_c6_grid
.0000112151860394,5521
.0000339625737263,9806.102040816328
.0001460225563608,14091.20408163265
.0002528749091576,18376.30612244898
.0003617752408341,22661.40816326531
.0004779603646669,26946.51020408163
.0005819223059841,31231.61224489796
.0008376085955962,35516.71428571429
.0013280085610741,39801.81632653061
.0021688984663864,44086.91836734694
.0029032853443935,48372.02040816327
.0032764913405853,52657.12244897959
.003547445459819,56942.22448979592
.0035320639560598,61227.32653061225
.003792049575323,65512.42857142857
.0043545735217339,69797.53061224491
.004690594429015,74082.63265306123
.0046580376281803,78367.73469387756
.0044094531277501,82652.83673469388
.0040310932837756,86937.93877551021
.0040799789702737,91223.04081632654
.0043738474539987,95508.14285714286
.0044032195110905,99793.24489795919
.0041258741804483,104078.3469387755
.0036058010360049,108363.4489795918
.0028881512354764,112648.5510204082
.0020237504337575,116933.6530612245
.0013706980116259,121218.7551020408
.0008763194532251,125503.8571428571
.0007535793571664,129788.9591836735
.0006861807690552,134074.0612244898
.0005951314220765,138359.1632653061
.0004984866536424,142644.2653061225
.0003919380337984,146929.3673469388
.0004211802848144,151214.4693877551
.000401475879626,155499.5714285714
.0004313202114598,159784.6734693878
.0004056903890673,164069.7755102041
.0003458585507712,168354.8775510204
.0002647662915508,172639.9795918367
.0001685636722179,176925.0816326531
.0001065641019522,181210.1836734694
.0000782944541687,185495.2857142857
.0000300669352004,189780.387755102
9.84487714218e-06,194065.4897959184
.0000161290882663,198350.5918367347
.0000507792943263,202635.693877551
.0000673342786264,206920.7959183674
.0000629824331878,211205.8979591837
.0000387772209963,215491
