med_hh_inc_c5_value,med_hh_inc_c5_grid
.0000374487171618,8947
.0001930123305886,13968.51020408163
.0006822075395838,18990.02040816327
.001597817902387,24011.5306122449
.0028420186549728,29033.04081632653
.0041993783201389,34054.55102040817
.005440649069588,39076.06122448979
.0069919655787655,44097.57142857143
.008287469350958,49119.08163265306
.008538626561943,54140.5918367347
.0083480152467036,59162.10204081633
.0079230012405054,64183.61224489796
.0078197154223015,69205.12244897959
.0074622193073082,74226.63265306123
.0065505378555717,79248.14285714286
.0053201288435324,84269.6530612245
.0046423557453688,89291.16326530612
.0040990412735447,94312.67346938775
.0038141552936183,99334.18367346939
.0037855978018115,104355.693877551
.0035291275207765,109377.2040816327
.0028962848977362,114398.7142857143
.0020985181022307,119420.2244897959
.0012194377107468,124441.7346938776
.0009244551099313,129463.2448979592
.0007236117057286,134484.7551020408
.0007803654860607,139506.2653061225
.0008258471855576,144527.7755102041
.0007760593665566,149549.2857142857
.0007222519045431,154570.7959183673
.0006972573375348,159592.306122449
.0006324050146766,164613.8163265306
.0005201075580068,169635.3265306122
.0003874218887416,174656.8367346939
.0003252718755674,179678.3469387755
.0003577835558955,184699.8571428572
.0002958305058332,189721.3673469388
.0002059232780367,194742.8775510204
.0001071591971209,199764.387755102
.0000994637032189,204785.8979591837
.000093348567578,209807.4081632653
.0001069428422433,214828.918367347
.0000890125616692,219850.4285714286
.0000839347182729,224871.9387755102
.0000665244633222,229893.4489795918
.000057706096903,234914.9591836735
.0001510079207966,239936.4693877551
.00020559226029,244957.9795918367
.0001865436056967,249979.4897959184
.0000919650513574,255001
